"Jarvi_nimi","Paikka_nimi","Kunta","Jarvi_tyyppi","Jarvi_tyyppi3","J_Jarvi_Id","V_Vesimuodostuma_Id","Maant_jako"
"Haukivesi","Haukivesi","Rantasalmi","humusjärvi","humuksinen",3695,1915,"E-S"
"Haukivesi","Haukivesi","Rantasalmi","humusjärvi","humuksinen",3695,1917,"E-S"
"Haukivesi","Haukivesi","Rantasalmi","humusjärvi","humuksinen",3695,1918,"E-S"
"Haukivesi","Haukivesi","Rantasalmi","humusjärvi","humuksinen",3695,10944,"E-S"
"Haukivesi","Haukivesi","Rantasalmi","humusjärvi","humuksinen",3695,11952,"E-S"
"Haukivesi","Haukivesi","Rantasalmi","humusjärvi","humuksinen",3695,12084,"E-S"
"Kallavesi","Kallavesi","Kuopio","humusjärvi","humuksinen",4829,1212,"E-S"
"Kallavesi","Kallavesi","Kuopio","humusjärvi","humuksinen",4829,12093,"E-S"
"Kallavesi","Kallavesi","Kuopio","humusjärvi","humuksinen",4829,13190,"E-S"
"Kallavesi","Kallavesi","Kuopio","humusjärvi","humuksinen",5500,1133,"E-S"
"Kemijärvi","Kemijärvi","Kemijärvi","humusjärvi","humuksinen",35118,13042,"P-S"
"Keurusselkä","Keurusselkä","Keuruu","humusjärvi","humuksinen",22720,2487,"E-S"
"Kiantajärvi","Kiantajärvi","Suomussalmi","humusjärvi","humuksinen",27350,6600,"P-S"
"Koitere","Koitere","Ilomantsi","humusjärvi","humuksinen",11408,3135,"E-S"
"Kyyvesi","Kyyvesi","Mikkeli","humusjärvi","humuksinen",18359,1814,"E-S"
"Kyyvesi","Kyyvesi","Mikkeli","humusjärvi","humuksinen",18359,1818,"E-S"
"Lappajärvi","Lappajärvi","Lappajärvi","humusjärvi","humuksinen",25273,3356,"E-S"
"Lentua","Lentua","Kuhmo","humusjärvi","humuksinen",29580,6088,"P-S"
"Lestijärvi","Lestijärvi","Lestijärvi","humusjärvi","humuksinen",25672,3427,"E-S"
"Näsijärvi","Näsijärvi","Ylöjärvi","humusjärvi","humuksinen",21005,3582,"E-S"
"Näsijärvi","Näsijärvi","Tampere","humusjärvi","humuksinen",20937,3571,"E-S"
"Ontojärvi","Ontojärvi","Kuhmo","humusjärvi","humuksinen",29414,6454,"P-S"
"Orivesi","Orivesi","Rääkkylä","humusjärvi","humuksinen",5802,3052,"E-S"
"Orivesi","Orivesi","Rääkkylä","humusjärvi","humuksinen",5802,3054,"E-S"
"Oulujärvi","Ärjänselkä","Paltamo","humusjärvi","humuksinen",26594,6464,"P-S"
"Oulujärvi","Niskanselkä","Vaala","humusjärvi","humuksinen",26552,6464,"P-S"
"Pielinen","Pielinen","Lieksa","humusjärvi","humuksinen",6579,3203,"E-S"
"Pielinen","Pielinen","Lieksa","humusjärvi","humuksinen",6579,3204,"E-S"
"Pihlajavesi","Pihlajavesi","Savonlinna","humusjärvi","humuksinen",1930,1662,"E-S"
"Pihlajavesi","Pihlajavesi","Savonlinna","humusjärvi","humuksinen",1930,1663,"E-S"
"Punelia","Punelia","Loppi","humusjärvi","humuksinen",19668,2771,"E-S"
"Pyhäjä","Pyhäjä","Tampere","humusjärvi","humuksinen",20663,3579,"E-S"
"Pyhäjä","Pyhäjä","Tampere","humusjärvi","humuksinen",20663,11955,"E-S"
"Pyhäjä","Pyhäjä","Tampere","humusjärvi","humuksinen",20663,11972,"E-S"
"Pyhäjä","Pyhäjä","Tampere","humusjärvi","humuksinen",20663,12630,"E-S"
"Pyhäselkä","Pyhäselkä","Joensuu","humusjärvi","humuksinen",5952,2931,"E-S"
"Pyhäselkä","Pyhäselkä","Joensuu","humusjärvi","humuksinen",5952,2932,"E-S"
"Simojärvi","Simojärvi","Ranua","humusjärvi","humuksinen",34070,8698,"P-S"
"Simojärvi","Simojärvi","Ranua","humusjärvi","humuksinen",34080,8724,"P-S"
"Sääksjärvi","Sääksjärvi","Kokemäki","humusjärvi","humuksinen",20509,10658,"E-S"
"Unnukka","Unnukka","Leppävirta","humusjärvi","humuksinen",4737,876,"E-S"
"Vanajavesi","Rauttunselkä","Valkeakoski","humusjärvi","humuksinen",20760,3577,"E-S"
"Vanajavesi","Kuhanselkä","Valkeakoski","humusjärvi","humuksinen",20770,3683,"E-S"
"Vuotjärvi","Vuotjärvi","Kuopio","humusjärvi","humuksinen",9325,1083,"E-S"
"Höytiäinen","Höytiäinen","Kontiolahti","vähähumuksinen","vähähumuksinen",10873,3216,"E-S"
"Höytiäinen","Höytiäinen","Kontiolahti","vähähumuksinen","vähähumuksinen",10873,3218,"E-S"
"Inarijärvi","Inarijärvi","Inari","vähähumuksinen","vähähumuksinen",47221,8715,"P-S"
"Juojärvi","Juojärvi","Tuusniemi","vähähumuksinen","vähähumuksinen",10261,1094,"E-S"
"Keitele","Keitele","Viitasaari","vähähumuksinen","vähähumuksinen",14987,2657,"E-S"
"Keitele","Keitele","Äänekoski","vähähumuksinen","vähähumuksinen",14884,2385,"E-S"
"Keitele","Keitele","Äänekoski","vähähumuksinen","vähähumuksinen",14884,2386,"E-S"
"Kermajärvi","Kermajärvi","Heinävesi","vähähumuksinen","vähähumuksinen",5264,1716,"E-S"
"Kivijärvi","Kivijärvi","Kivijärvi","vähähumuksinen","vähähumuksinen",15287,2392,"E-S"
"Kivijärvi","Kivijärvi","Luumäki","vähähumuksinen","vähähumuksinen",13208,13165,"E-S"
"Kivijärvi","Kivijärvi","Luumäki","vähähumuksinen","vähähumuksinen",13208,13166,"E-S"
"Kolima","Kolima","Viitasaari","vähähumuksinen","vähähumuksinen",15571,2477,"E-S"
"Konnevesi","Konnevesi","Konnevesi","vähähumuksinen","vähähumuksinen",16518,961,"E-S"
"Kukkia","Kukkia","Pälkäne","vähähumuksinen","vähähumuksinen",23790,3595,"E-S"
"Kuolimo","Kuolimo","Savitaipale","vähähumuksinen","vähähumuksinen",2671,2144,"E-S"
"Leppävesi","Leppävesi","Laukaa","vähähumuksinen","vähähumuksinen",14471,2567,"E-S"
"Mallasvesi","Mallasvesi","Pälkäne","vähähumuksinen","vähähumuksinen",23073,3501,"E-S"
"Muojärvi","Muojärvi","Kuusamo","vähähumuksinen","vähähumuksinen",54409,441,"P-S"
"Puruvesi","Puruvesi","Savonlinna","vähähumuksinen","vähähumuksinen",3465,1653,"E-S"
"Puula","Puula","Hirvensalmi","vähähumuksinen","vähähumuksinen",18027,2004,"E-S"
"Puula","Puula","Hirvensalmi","vähähumuksinen","vähähumuksinen",18027,2007,"E-S"
"Pyhäjärvi","Pyhäjärvi","Kitee","vähähumuksinen","vähähumuksinen",6474,3167,"E-S"
"Pyhäjärvi","Pyhäjärvi","Saarijärvi","vähähumuksinen","vähähumuksinen",16469,2380,"E-S"
"Pyhäjärvi","Pyhäjärvi","Eura","vähähumuksinen","vähähumuksinen",20349,10646,"E-S"
"Pyhäjärvi","Pyhäjärvi","Pyhäjärvi","vähähumuksinen","vähähumuksinen",26059,41,"P-S"
"Pyhäjärvi","Pyhäjärvi","Pyhäjärvi","vähähumuksinen","vähähumuksinen",26059,42,"P-S"
"Pyhäjärvi","Pyhäjärvi","Pyhäjärvi","vähähumuksinen","vähähumuksinen",26059,43,"P-S"
"Pyhäjärvi","Pyhäjärvi","Kouvola","vähähumuksinen","vähähumuksinen",12501,2253,"E-S"
"Päijänne","Päijänne","Jyväskylä","vähähumuksinen","vähähumuksinen",13847,2405,"E-S"
"Päijänne","Päijänne","Padasjoki","vähähumuksinen","vähähumuksinen",13356,2492,"E-S"
"Päijänne","Päijänne","Padasjoki","vähähumuksinen","vähähumuksinen",13356,12059,"E-S"
"Päijänne","Päijänne","Padasjoki","vähähumuksinen","vähähumuksinen",13356,12092,"E-S"
"Roine","Roine","Kangasala","vähähumuksinen","vähähumuksinen",23080,3737,"E-S"
"Roine","Roine","Kangasala","vähähumuksinen","vähähumuksinen",23079,3521,"E-S"
"Saimaa","Saimaa","Lappeenranta","vähähumuksinen","vähähumuksinen",1069,2227,"E-S"
"Saimaa","Saimaa","Lappeenranta","vähähumuksinen","vähähumuksinen",1069,2233,"E-S"
"Saimaa","Saimaa","Lappeenranta","vähähumuksinen","vähähumuksinen",1069,2235,"E-S"
"Saimaa","Saimaa","Lappeenranta","vähähumuksinen","vähähumuksinen",1069,2237,"E-S"
"Saimaa","Saimaa","Lappeenranta","vähähumuksinen","vähähumuksinen",1069,2238,"E-S"
