vuosi;järvityyppi;kemiallinen hapenkulutus (mg/l);95% luottamusvälin alaraja;95% luottamusvälin yläraja
1960;humuksinen;13,2040234307874;11,7794104258973;14,8214079977587
1960;vähähumuksinen;8,3332905343864;7,4047699193906;9,28909550023414
1961;humuksinen;13,134888384357;11,7889390211674;14,6582146233878
1961;vähähumuksinen;8,22035385992605;7,33012951396402;9,11460509365758
1962;humuksinen;13,0625737868568;11,7735865676588;14,5367135817516
1962;vähähumuksinen;8,10720155982375;7,25252411572293;8,94883819819251
1963;humuksinen;12,9772925209084;11,7162950743157;14,3990335539439
1963;vähähumuksinen;7,99050122147746;7,1764949114408;8,7835518773152
1964;humuksinen;12,8980211297874;11,6530233996672;14,2610836624801
1964;vähähumuksinen;7,87779125268626;7,08763251246876;8,64696012857619
1965;humuksinen;12,8081335201953;11,6071747904514;14,1557232004838
1965;vähähumuksinen;7,76365431764882;6,99676034295424;8,49281903512087
1966;humuksinen;12,7147880637664;11,5142093706262;14,0447277446437
1966;vähähumuksinen;7,64767385975725;6,90398354994188;8,3552420585867
1967;humuksinen;12,60776988986;11,4381244858189;13,9009956287965
1967;vähähumuksinen;7,53143737597937;6,81004031202883;8,2175762448477
1968;humuksinen;12,5004379484524;11,3382351877796;13,7671180652943
1968;vähähumuksinen;7,42112926486376;6,70645348471273;8,09829152556404
1969;humuksinen;12,3864481818656;11,232320601673;13,62262830796
1969;vähähumuksinen;7,30823552302923;6,60704961901013;7,98055248456709
1970;humuksinen;12,2643580779507;11,124478201673;13,4822133516571
1970;vähähumuksinen;7,19833944834663;6,51496534996928;7,8694759053504
1971;humuksinen;12,1415774296661;11,0098135973863;13,3516864235508
1971;vähähumuksinen;7,10111226286694;6,43474603178057;7,76235358694298
1972;humuksinen;12,0106968625339;10,9003255675065;13,2084994509453
1972;vähähumuksinen;7,01166039428414;6,35855825242214;7,6710730814176
1973;humuksinen;11,8817712834473;10,794912110585;13,0667900379299
1973;vähähumuksinen;6,93095453254962;6,27945541659391;7,57193592461331
1974;humuksinen;11,7545666590135;10,6723616266949;12,9162432614662
1974;vähähumuksinen;6,86193811285794;6,20467341520827;7,49984899226522
1975;humuksinen;11,6205261226983;10,5573158294038;12,777774965409
1975;vähähumuksinen;6,80382082179983;6,148113372276;7,4436636770465
1976;humuksinen;11,4934137947029;10,4380909023308;12,6494117944681
1976;vähähumuksinen;6,75396231020238;6,10483644418639;7,38392755326382
1977;humuksinen;11,3718150556726;10,3334528363349;12,5087932966226
1977;vähähumuksinen;6,71745607107036;6,07230955698565;7,34245931470269
1978;humuksinen;11,2533304578408;10,2281829402959;12,3828415204234
1978;vähähumuksinen;6,68849364151615;6,05614697355943;7,30950310492696
1979;humuksinen;11,1439566585034;10,1275081837872;12,2661621761933
1979;vähähumuksinen;6,66641067784911;6,02701292172345;7,28855111259439
1980;humuksinen;11,0353197745002;10,0251612659729;12,1529432094848
1980;vähähumuksinen;6,64867776818472;6,00866463613987;7,2687925362216
1981;humuksinen;10,9378102852952;9,93716048821555;12,0401157840878
1981;vähähumuksinen;6,63416404313403;6,0022822760421;7,24823902929551
1982;humuksinen;10,8387139147434;9,85667872833508;11,9257884595325
1982;vähähumuksinen;6,61845829042371;5,98296582929185;7,23226298571665
1983;humuksinen;10,7425761198731;9,76652981250323;11,8110397255487
1983;vähähumuksinen;6,60218315826465;5,95985016437182;7,22352850670609
1984;humuksinen;10,6492772790232;9,68532683058137;11,7354950170094
1984;vähähumuksinen;6,58470930108679;5,94719598770522;7,20996224692563
1985;humuksinen;10,5640340241392;9,60516135501174;11,6509648108321
1985;vähähumuksinen;6,56811651351793;5,93208257357978;7,19059818527548
1986;humuksinen;10,4811567559314;9,53900431219941;11,5553870385733
1986;vähähumuksinen;6,54359278653659;5,9128502477879;7,16638871753619
1987;humuksinen;10,4049189429091;9,46772135882013;11,4661760424635
1987;vähähumuksinen;6,5159079906545;5,88788021613206;7,14743599743433
1988;humuksinen;10,3393094630541;9,41722239796341;11,3919839810513
1988;vähähumuksinen;6,48253952982804;5,86236781630744;7,10199180991806
1989;humuksinen;10,2772869769891;9,36166559561975;11,3177925029417
1989;vähähumuksinen;6,4470316842114;5,83439954377848;7,05876055094068
1990;humuksinen;10,2240622990377;9,31542803111012;11,2661463929312
1990;vähähumuksinen;6,40610780774616;5,80249477763613;7,01066442683423
1991;humuksinen;10,1828199342014;9,28006610984962;11,2211140985533
1991;vähähumuksinen;6,36492806943827;5,77342019918008;6,96171694649508
